194 	愛しい		A	0 				0						0,24	1 	愛しい	__												0
1 	大きい	大き-	A	0 				0						0,24	1 	大きい	__											T を含まない語幹	0
2 	大きい		A	0 				0						0,24	1 	大きい	__											T を含んだ簡略形	0
3 	かわいい		A	0 				0						0,24	1 	かわいい	__											T を含んだ簡略形	0
4 	かわいい	かわい-	A	0 				0						0,24	1 	かわいい	__											T を含まない語幹	0
5 	黄色い	黄色-	A	0 				0						0,24	1 	黄色い	__											T を含まない語幹	0
6 	黄色い		A	0 				0						0,24	1 	黄色い	__											T を含んだ簡略形	0
7 	白い	白-	A	0 				0						0,24	1 	白い	__											T を含まない語幹	0
8 	白い		A	0 				0						0,24	1 	白い	__											T を含んだ簡略形	0
9 	すごい	すご-	A	0 				0						0,24	1 	すごい	__											T を含まない語幹	0
10 	すごい		A	0 				0						0,24	1 	すごい	__											T を含んだ簡略形	0
11 	長い	長-	A	0 				0						0,24	1 	長い	__											T を含まない語幹	0
12 	長い		A	0 				0						0,24	1 	長い	__											T を含んだ簡略形	0
13 	激しい	はげし-	A	0 				0						0,24	1 	激しい	__											T を含まない語幹	0
14 	激しい		A	0 				0						0,24	1 	激しい	__											T を含んだ簡略形	0
240 	難しい		A	0 				0						0,24	1 	難しい	__												0
15 	安い		A	0 				0						0,24	1 	安い	__											T を含んだ簡略形	0
16 	安い	安-	A	0 				0						0,24	1 	安い	__											T を含まない語幹	0
17 	若い	若-	A	0 				0						0,24	1 	若い	__											T を含まない語幹	0
18 	若い		A	0 				0						0,24	1 	若い	__											T を含んだ簡略形	0
19 	が		J	0 				4	2,1,N	2,1L,T	ga	1,5,J-Merge		zero	0 													標準	0
183 	が		J	0 				3	2,1,N	ga	1,5,J-Merge			zero	0 													解釈不可能素性を持たない「が」	0
196 	が	φ	J	0 				4	2,1,N	2,1L,T	ga	1,5,J-Merge		zero	0 													音形を持たない「が」	0
20 	に		J	0 				3	2,1,N	ni	1,5,J-Merge			zero	0 													格助詞としての「に」	0
21 	の		J	0 				3	2,1,N	2,2L,N	1,5,J-Merge			zero	0 													格助詞としての「の」	0
22 	は		J	0 				1	1,5,J-Merge					zero	0 														0
23 	を		J	0 				4	2,1,N	2,3L,V	wo	1,5,J-Merge		zero	0 													標準	0
197 	を	φ	J	0 				4	2,1,N	2,3L,V	wo	1,5,J-Merge		zero	0 													音形を持たない「を」	0
195 	φ		N	0 				0						id	0 													音形を持たない名詞	0
24 	アメリカ人		N	0 				0						id	1 	Kind	アメリカ人												0
25 	医者		N	0 				0						id	1 	Kind	医者												0
26 	椅子		N	0 				0						id	1 	Kind	椅子												0
27 	犬		N	0 				0						id	1 	Kind	犬												0
28 	色		N	0 				0						id	2 	Host	0,24	Kind	色										0
29 	院生		N	0 				0						id	1 	Kind	院生												0
30 	上		N	0 				0						id	2 	Host	0,24	Kind	上										0
31 	大雨		N	0 				0						id	1 	Kind	大雨												0
32 	奥さん		N	0 				0						id	2 	Host	0,24	Kind	奥さん										0
33 	教え子		N	0 				0						id	2 	Host	0,24	Kind	教え子										0
220 	音		N	0 				0						id	1 	Kind	音												0
34 	弟		N	0 				0						id	2 	Host	0,24	Kind	弟										0
35 	男の子		N	0 				0						id	1 	Kind	男の子												0
36 	オレンジ		N	0 				0						id	1 	Kind	オレンジ												0
37 	女の子		N	0 				0						id	1 	Kind	女の子												0
38 	か		N	0 				0						id	1 	Focus	2,27,ind												0
39 	学生		N	0 				0						id	1 	Kind	学生												0
40 	学長		N	0 				0						id	2 	Host	0,24	Kind	学長										0
41 	家族		N	0 				0						id	2 	Host	0,24	Kind	家族										0
42 	かなりの数		N	0 				0						2,22	1 	Quantity	かなり												0
43 	花びん		N	0 				0						id	1 	Kind	花びん												0
44 	彼		N	0 				0						id	1 	Kind	男性												0
192 	川		N	0 				0						id	1 	Kind	川												0
45 	ギター		N	0 				0						id	1 	Kind	ギター												0
209 	給料		N	0 				0						id	2 	Kind	給料	Host	0,24										0
215 	ギョウザ		N	0 				0						id	1 	Kind	ギョウザ												0
46 	京都		N	0 				0						id	1 	Name	京都												0
47 	靴		N	0 				0						id	1 	Kind	靴												0
48 	車		N	0 				0						id	1 	Kind	車												0
49 	現役力士		N	0 				0						id	1 	Kind	現役力士												0
50 	個		N	0 				1	2,1,Num					2,22	2 	Quantitiy	0,24	Kind	個で数える										0
218 	コツ		N	0 				0						id	2 	Kind	コツ	Host	0,24										0
51 	こと		N	0 				0						id	1 	Kind	こと												0
52 	サイズ		N	0 				0						id	2 	Host	0,24	Kind	サイズ										0
53 	冊		N	0 				1	2,1,Num					2,22	2 	Quantitiy	0,24	Kind	冊で数える										0
54 	皿		N	0 				0						id	1 	Kind	皿												0
55 	３人		N	0 				0						0,24	2 	Quantity	3	Kind	人										0
56 	実兄		N	0 				0						id	2 	Host	0,24	Kind	実兄										0
198 	自動車会社		N	0 				0						id	1 	Kind	自動車会社												0
57 	自分		N	0 				1	3,103					zero	0 														0
211 	社員		N	0 				0						id	1 	Kind	社員												0
58 	写真		N	0 				0						id	1 	Kind	写真												0
59 	上々		N	0 				0						0,24	1 	上々	__												0
60 	ジョン		N	0 				0						id	1 	Name	ジョン												0
61 	スケートボード		N	0 				0						id	1 	Kind	スケートボード												0
62 	素敵		N	0 				0						0,24	1 	素敵	__												0
221 	素振り		N	0 				0						id	1 	Kind	素振り												0
199 	すべて		N	0 				0						id	1 	Proportion	すべて												0
63 	セーター		N	0 				0						id	1 	Kind	セーター												0
64 	先生		N	0 				0						id	1 	Kind	先生												0
65 	象		N	0 				0						id	1 	Kind	象												0
66 	そこ		N	0 				1	3,103					zero	0 														0
67 	大学		N	0 				0						id	1 	Kind	大学												0
68 	大学教授		N	0 				0						id	1 	Kind	大学教授												0
69 	大学生		N	0 				0						id	1 	Kind	大学生												0
70 	たくさん		N	0 				0						2,22	1 	Quantity	たくさん												0
71 	棚		N	0 				0						id	1 	Kind	棚												0
72 	誰		N	0 				2	3,53,ind,id	3,101				id	2 	Kind	人	Identity	unknown										0
73 	チーム		N	0 				0						id	1 	Kind	チーム												0
212 	父		N	0 				0						id	2 	Host	0,24	Kind	父										0
74 	長男		N	0 				0						id	2 	Kind	長男	Host	__										0
75 	長男		N	0 				0						id	2 	Host	0,24	Kind	長男										0
225 	手		N	0 				0						id	2 	Host	0,24	Kind	手										0
76 	特大		N	0 				0						2,22	1 	特大	__												0
77 	どこ		N	0 				2	3,53,ind,id	3,101				id	2 	Kind	団体	Identity	unknown										0
78 	床屋		N	0 				0						id	1 	Kind	床屋												0
79 	突然		N	0 				0						2,22	1 	突然	__												0
80 	鳥		N	0 				0						id	1 	Kind	鳥												0
81 	何		N	0 				2	3,53,ind,id	3,101				id	2 	Kind	人	Identity	unknown										0
113 	何人		N	0 				2	3,58,ind	3,101				2,22	2 	Kind	人	Quantity	unknown										0
82 	日本		N	0 				0						id	2 	Name	日本	Kind	国										0
83 	人		N	0 				1	2,1,Num					2,22	2 	Quantity	0,24	Kind	人										0
84 	年齢		N	0 				0						id	2 	Host	0,24	Kind	年齢										0
85 	の		N	0 				0						id	0 													代名詞としての用法	0
86 	パーティ		N	0 				0						id	1 	Kind	パーティ												0
87 	バイト		N	0 				0						id	1 	Kind	バイト												0
88 	箱		N	0 				0						id	1 	Kind	箱												0
89 	パソコン		N	0 				0						id	1 	Kind	パソコン												0
90 	鼻		N	0 				0						id	2 	Host	0,24	Kind	鼻										0
190 	花		N	0 				0						id	1 	Kind	花												0
91 	バラ		N	0 				0						id	1 	Kind	バラ												0
188 	ハンカチ		N	0 				0						id	1 	Kind	ハンカチ												0
92 	ひげ		N	0 				0						id	2 	Host	0,24	Kind	ひげ										0
93 	人		N	0 				0						id	1 	Kind	人												0
94 	ビル		N	0 				0						id	1 	Name	ビル												0
95 	２人		N	0 				0						0,24	2 	Quantity	2	Kind	人										0
96 	フロリダ産		N	0 				0						2,22	1 	産地	フロリダ												0
97 	帽子		N	0 				0						id	1 	Kind	帽子												0
98 	ポスター		N	0 				0						id	1 	Kind	ポスター												0
99 	ほとんど		N	0 				0						id	2 	Host	0,24	占有率	ほとんど										0
100 	本		N	0 				1	2,1,Num					2,22	2 	Quantity	0,24	Kind	本で数える										0
227 	本		N	0 				0						id	1 	Kind	本												0
222 	毎日		N	0 				0						2,22	1 	頻度	毎日												0
